Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-08-23 08:55:44,false,"Franklin - Long Run","3.97","391","01:01:01","151","170","2.8","149","228","15:22","9:35","49","46","0.69","11.0","7.5","306","15:24","179","0.0","174","291","9,196","78.8","No","00:00:00.8","2","91.4","01:00:48","01:01:01","736","774"
Running,2025-08-22 07:20:19,false,"Franklin - Base","2.50","242","00:42:03","151","166","2.1","147","168","16:52","11:27","26","33","0.64","11.5","7.2","310","16:57","165","0.0","159","248","6,264","78.8","No","00:00:03.3","2","84.2","00:41:49","00:42:03","740","765"
Running,2025-08-21 07:17:50,false,"Franklin - VO2 Max","3.21","322","00:43:02","166","197","3.6","142","192","13:23","7:04","23","30","0.84","9.6","7.4","276","13:24","230","0.0","184","395","6,364","75.2","No","00:00:01.5","12","86.0","00:42:33","00:43:15","744","759"
Running,2025-08-19 08:17:18,false,"Franklin - Base","2.11","207","00:36:02","151","169","2.1","143","250","17:07","12:57","26","23","0.65","11.1","7.1","318","17:10","161","0.0","152","216","5,150","82.4","No","00:00:02.2","2","91.4","00:36:01","00:36:02","757","774"
Running,2025-08-18 08:24:24,false,"Franklin - Threshold","3.43","349","00:50:02","168","188","3.1","145","247","14:36","8:04","36","43","0.74","10.3","7.5","298","14:39","186","0.0","172","349","7,412","84.2","No","00:00:01.5","4","91.4","00:49:53","00:50:02","748","772"
Running,2025-08-16 08:11:52,false,"Franklin - Long Run","4.76","479","01:26:02","154","173","2.7","129","247","18:04","9:11","49","46","0.67","10.3","6.7","313","18:04","147","0.0","133","307","11,442","82.4","No","00:00:01.8","2","96.8","01:24:14","01:29:02","744","772"
Treadmill Running,2025-08-14 08:34:31,false,"Threshold","3.40","390","00:50:05","167","185","3.9","143","180","14:44","6:59","--","--","1.03","9.1","9.2","303","--","261","0.0","225","400","7,246","80.6","No","00:00:04.6","7","86.0","00:45:12","00:50:06","--","--"
Running,2025-08-13 07:16:29,false,"Franklin - Base","3.08","308","00:52:06","155","191","2.4","144","179","16:53","8:16","30","33","0.65","11.0","7.0","305","16:57","168","0.0","154","350","7,594","80.6","No","00:00:06.4","2","86.0","00:51:25","00:53:17","747","770"
Running,2025-08-12 08:46:20,false,"Franklin - Base","2.81","288","00:51:02","158","177","2.1","138","231","18:10","10:58","30","43","0.63","10.9","6.7","317","18:22","147","0.0","139","252","7,102","82.4","No","00:00:02.1","2","98.6","00:50:56","00:51:02","742","770"
Running,2025-08-11 07:21:08,false,"Franklin - Base","2.64","264","00:45:08","154","180","2.1","145","234","17:06","3:49","30","30","0.63","11.3","7.0","309","17:10","162","0.0","154","278","6,636","82.4","No","00:00:08.0","2","89.6","00:44:59","00:45:08","749","765"
Running,2025-08-09 08:19:50,false,"Franklin - Base","2.62","260","00:42:02","156","173","2.2","145","169","16:03","10:53","26","39","0.68","10.8","7.2","311","16:05","171","0.0","162","262","6,166","84.2","No","00:00:01.6","2","91.4","00:42:01","00:42:02","724","758"
Walking,2025-08-08 07:49:28,false,"Franklin Walking","0.96","105","00:28:14","119","135","0.4","75","131","29:17","17:58","7","3","0.73","--","--","--","--","--","0.0","--","--","2,544","84.2","No","00:28:14","1","91.4","00:21:32","00:31:51","750","761"
Running,2025-08-08 07:24:19,false,"Franklin - Base","1.52","152","00:23:35","155","168","1.9","156","236","15:33","10:18","3","23","0.67","11.2","7.4","302","15:39","178","0.0","174","258","3,666","82.4","No","00:23:35","1","86.0","00:23:34","00:24:10","738","762"
Walking,2025-08-07 19:14:44,false,"Franklin Walking","0.71","97","00:24:36","115","180","0.9","48","219","34:31","6:22","3","10","0.97","--","--","--","--","--","0.0","--","--","1,760","86.0","No","00:24:36","1","95.0","00:12:41","00:24:36","746","759"
Cardio,2025-08-07 12:52:39,false,"Cardio","0.00","149","00:22:48","138","156","1.9","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","636","95.0","No","00:22:48","1","100.4","00:00:00","00:22:48","--","--"
Cardio,2025-08-07 12:23:23,false,"Cardio","0.00","166","00:24:01","141","163","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","422","84.2","No","00:24:01","1","100.4","00:00:00","00:24:01","--","--"
Cardio,2025-08-07 09:08:40,false,"Cardio","0.00","409","01:02:58","144","174","2.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","2,152","86.0","No","01:02:58","1","96.8","00:00:00","01:02:58","--","--"
Running,2025-08-06 15:04:30,false,"Franklin - Threshold","2.52","306","00:42:03","168","191","2.8","128","172","16:40","8:30","23","30","0.72","10.4","7.1","303","16:43","172","0.0","144","329","5,710","84.2","No","00:00:03.2","8","104.0","00:41:38","00:42:32","738","764"
Running,2025-08-05 07:05:28,false,"Franklin - Base","2.60","271","00:43:02","155","171","2.1","148","181","16:33","10:25","20","30","0.66","10.9","7.0","300","16:37","167","0.0","157","262","6,410","75.2","No","00:00:02.3","4","84.2","00:42:57","00:43:02","740","762"
Running,2025-08-04 07:13:21,false,"Franklin - Base","2.09","221","00:33:05","155","168","2.4","151","225","15:51","8:59","7","16","0.66","11.1","7.2","302","15:55","182","0.0","170","316","5,032","77.0","No","00:00:04.8","5","84.2","00:33:01","00:33:05","742","757"
